FrenchName,player-href,Player,DOB,HeightWeight,Arrived,PriorTeams,Nationality,image-src,OnSite
"Jean-Baptiste
                                            DE CLERCQ                                        
                                        Pilier droit",http://www.stade.fr/club/effectif-pro/90-jean-baptiste-de-clercq,Jean-Baptiste DE CLERCQ,1994-02-23,183 cm / 120 kg,2015,2015 à aujourd'hui / Stade Français Paris,Belgique,http://www.stade.fr/medias/resized/declercq_1672932118.jpg,Y
"Jimmy
                                            YOBO                                        
                                        Centre",http://www.stade.fr/club/effectif-pro/89-jimmy-yobo,Jimmy Yobo,1992-02-20,180 cm / 88 kg,2017,2016-2017 : RC Toulon,France,http://www.stade.fr/medias/resized/yobo-jersey_1356726373.jpg,Y
"Jonathan
                                            DANTY                                        
                                        Centre",http://www.stade.fr/club/effectif-pro/16-jonathan-danty,Jonathan Danty,1992-10-07,181 cm / 111 kg,2011,2011 à aujourd'hui / Stade Français Paris,France,http://www.stade.fr/medias/resized/danty_1724751291.jpg,Y
"Jules
                                            PLISSON                                        
                                        Demi d'ouverture",http://www.stade.fr/club/effectif-pro/29-jules-plisson,Jules Plisson,1991-08-20,184 cm / 92 kg,2007-2008,ACBB,France,http://www.stade.fr/medias/resized/plisson_519710241.jpg,Y
"Julien
                                            ARIAS                                        
                                        Ailier",http://www.stade.fr/club/effectif-pro/4-julien-arias,Julien Arias,1983-10-26,178 cm / 89 kg,2004,"2001 à 2004 / Colomiers
2004 à aujourd'hui / Stade Français Paris",France,http://www.stade.fr/medias/resized/arias_1027379295.jpg,Y
"Laurent
                                            PANIS                                        
                                        Talonneur",http://www.stade.fr/club/effectif-pro/80-laurent-panis,Laurent Panis,1993-04-23,184 cm / 103 kg,,,France,http://www.stade.fr/medias/resized/panis_2136759423.jpg,Y
"Laurent
                                            SEMPÉRÉ                                        
                                        Talonneur",http://www.stade.fr/club/effectif-pro/34-laurent-sempere,Laurent Sempere,1985-07-09,180 cm / 101 kg,2008-2009,"Perpignan, Métro-Racing",France,http://www.stade.fr/medias/resized/sempere_1556370958.jpg,Y
"Lorenzo
                                            CITTADINI                                        
                                        Pilier droit",http://www.stade.fr/club/effectif-pro/84-lorenzo-cittadini,Lorenzo Cittadini,1992-12-17,120 cm / 190 kg,2017,"2000 à 2005 / Rugby Brescia
2005 à 2009 / Calvisano
2009 à 2014 / Benetton Trévise 
2014 à 2016 / Wasps
2016 à 2017 / Aviron Bayonnais
2017 à aujourd'hui / Stade Français Paris",Italie,http://www.stade.fr/medias/resized/cittadini-jersey_471525017.jpg,Y
"Marvin
                                            O'CONNOR                                        
                                        Ailier",http://www.stade.fr/club/effectif-pro/92-marvin-o-connor,Marvin O'CONNOR,1991-04-18,175 cm / 88 kg,2017,Montpellier (2015-2017),France,http://www.stade.fr/medias/resized/marvin-oconnor_1293865137.jpg,Y
"Mathieu
                                            DE GIOVANNI                                        
                                        Deuxième ligne",http://www.stade.fr/club/effectif-pro/91-mathieu-de-giovanni,Mathieu DE GIOVANNI,1994-01-10,196 cm / 112 kg,2015 à aujourd'hui / Stade Français Paris,,France,http://www.stade.fr/medias/resized/de-giovanni_1244068398.jpg,Y
"Meyer
                                            BOSMAN                                        
                                        Centre",http://www.stade.fr/club/effectif-pro/50-meyer-bosman,Meyer Bosman,1985-04-19,192 cm / 104 kg,2013,"2005 à 2010 / Free State Cheetahs
2011 à 2013 / Natal Sharks
2013 à aujourd'hui / Stade Français Paris",Afrique du Sud,http://www.stade.fr/medias/resized/bosman_1655155288.jpg,Y
"Morné
                                            STEYN                                        
                                        Demi d'ouverture",http://www.stade.fr/club/effectif-pro/59-morne-steyn,Morne Steyn,1984-07-11,184 cm / 90 kg,2013-2014,Bulls,Afrique du Sud,http://www.stade.fr/medias/resized/steyn_1394377452.jpg,Y
"Paul
                                            ALO-EMILE                                        
                                        Pilier droit",http://www.stade.fr/club/effectif-pro/71-paul-alo-emile,Paul Alo-Emile,1991-12-22,180 cm / 136 kg,2015,"2012 à 2015 / Melbourne Rebels
2015 à aujourd'hui / Stade Français Paris",Australie,http://www.stade.fr/medias/resized/alo-emile_919415052.jpg,Y
"Paul
                                            GABRILLAGUES                                        
                                        Deuxième ligne",http://www.stade.fr/club/effectif-pro/77-paul-gabrillagues,Paul Gabrillagues,1993-06-03,199 cm / 119 kg,2014,2014 à aujourd'hui / Stade Français Paris,France,http://www.stade.fr/medias/resized/gabrillagues_1316984781.jpg,Y
"Paul
                                            WILLIAMS                                        
                                        Centre",http://www.stade.fr/club/effectif-pro/44-paul-williams,Paul Williams,1983-04-22,189 cm / 101 kg,2011-2012,"Sale Sharks, Auckland Blues, Canterbury Crusaders,",Nouvelle-Zélande,http://www.stade.fr/medias/resized/williams_708893420.jpg,Y
"Rémi
                                            BONFILS                                        
                                        Talonneur",http://www.stade.fr/club/effectif-pro/48-remi-bonfils,Remi Bonfils,1988-09-26,178 cm / 101 kg,2007,"2010 / PUC
2010 à aujourd'hui / Stade Français Paris",France,http://www.stade.fr/medias/resized/bonfils_220801022.jpg,Y
"Romain
                                            MARTIAL                                        
                                        Ailier",http://www.stade.fr/club/effectif-pro/86-romain-martial,Romain Martial,1984-11-13,195 cm / 104 kg,2017,"2007 à 2010 / Narbonne
2010 à 2016 / Castres 
2016 à 2017 / Aviron Bayonnais
2017 à aujourd'hui / Stade Français Paris",France,http://www.stade.fr/medias/resized/martial-jersey_1808985034.jpg,Y
"Sakaria
                                            TAULAFO                                        
                                        Pilier gauche",http://www.stade.fr/club/effectif-pro/60-sakaria-taulafo,Sakaria Taulafo,1983-01-29,183 cm / 127 kg,2013-2014,London Wasps,Samoa,http://www.stade.fr/medias/resized/taulafo_875795034.jpg,Y
"Sergio
                                            PARISSE                                        
                                        Troisième ligne centre",http://www.stade.fr/club/effectif-pro/28-sergio-parisse,Sergio Parisse,1983-09-12,196 cm / 108 kg,2005-2006,Trévise (Italie),Italie,http://www.stade.fr/medias/resized/parisse_690437977.jpg,Y
"Steevy
                                            CERQUEIRA                                        
                                        Deuxième ligne",http://www.stade.fr/club/effectif-pro/83-steevy-cerqueira,Steevy Cerqueira,1993-08-09,206 cm / 114 kg,2017,"20013 à 2016 / Lyon OU 
2016 à 2017 / AS Béziers
2017 à aujourd'hui / Stade Français Paris",France,http://www.stade.fr/medias/resized/cerqueira-jersey_557079091.jpg,Y
"Sylvain
                                            NICOLAS                                        
                                        Troisième ligne aile",http://www.stade.fr/club/effectif-pro/58-sylvain-nicolas,Sylvain Nicolas,1987-06-21,188 cm / 102 kg,2013-2014,"Toulouse, Bourgoin-Jallieu",France,http://www.stade.fr/medias/resized/nicolas_307304391.jpg,Y
"Terry
                                            BOUHRAOUA                                        
                                        Demi de mêlée",http://www.stade.fr/club/effectif-pro/82-terry-bouhraoua,Terry Bouhraoua,1987-07-29,169 cm / 66 kg,2017,"2005 - 2009 Stade français Paris
2009 - 2010 AS Béziers
2010 - 2017 FFR",France,http://www.stade.fr/medias/resized/bouhraoua-jersey_457380127.jpg,Y
"Tony 
                                            ENSOR                                        
                                        Arrière",http://www.stade.fr/club/effectif-pro/85-tony-ensor,Tony Ensor,1991-05-11,186 cm / 92 kg,2017,"2012 à 2017 / Otago (N-Z)
2017 à aujourd'hui / Stade Français Paris",Nouvelle-Zélande,http://www.stade.fr/medias/resized/tony-ensor-jersey_1389293317.jpg,Y
"Waisea
                                            NAYACALEVU                                        
                                        Ailier",http://www.stade.fr/club/effectif-pro/42-waisea-nayacalevu,Waisea Nayacalevu,1990-06-26,193 cm / 105 kg,2012-2013,Melbourne Rugby Club,Fidji,http://www.stade.fr/medias/resized/waisea_1574219448.jpg,Y
"Willem
                                            ALBERTS                                        
                                        Troisième ligne aile",http://www.stade.fr/club/effectif-pro/70-willem-alberts,Willem Alberts,1984-05-11,192 cm / 120 kg,2015,"2007 à 2009 / Golden Lions
2007 à 2009 / Lions
2010 à 2015 / Natal Sharks
2010 à 2015 / Sharks 
2015 à aujourd'hui / Stade Français Paris",Afrique du Sud,http://www.stade.fr/medias/resized/alberts_1075154554.jpg,Y
"Zurabi
                                            ZHVANIA                                        
                                        Pilier gauche",http://www.stade.fr/club/effectif-pro/46-zurabi-zhvania,Zurabi Zhvania,1991-09-23,179 cm / 112 kg,2012-2013,,Géorgie,http://www.stade.fr/medias/resized/zhvania_2126010867.jpg,Y
